step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_fact_left;prof_fact_right;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
0;-4.093;-3.599;0.0;0.363;0.0;7.429;7.429;8.716;5.121;-0.0;50.0;-50.0;70.0;10.0
1;-4.077;-3.599;-0.023;0.363;0.0;7.637;7.637;8.724;5.179;-0.01;50.0;-50.0;70.0;10.0
2;-4.06;-3.599;-0.045;0.571;0.0;7.836;7.836;8.732;5.238;-0.016;50.0;-50.0;70.0;10.0
3;-4.043;-3.599;-0.067;0.571;0.0;8.027;8.027;8.741;5.296;-0.016;50.0;-50.0;70.0;10.0
4;-4.025;-3.599;-0.089;0.779;0.0;8.211;8.211;8.751;5.355;-0.013;50.0;-50.0;70.0;10.0
5;-4.007;-3.599;-0.111;0.779;0.0;8.387;8.387;8.76;5.414;-0.005;50.0;-50.0;70.0;10.0
6;-3.989;-3.599;-0.133;1.195;0.0;8.554;8.554;8.771;5.472;0.008;50.0;-50.0;70.0;10.0
7;-3.971;-3.599;-0.154;0.987;0.0;8.714;8.714;8.781;5.531;0.024;50.0;-50.0;70.0;10.0
8;-3.952;-3.599;-0.176;0.987;0.0;8.867;8.867;8.793;5.589;0.045;50.0;-50.0;70.0;10.0
9;-3.933;-3.599;-0.197;0.987;0.0;9.012;9.012;8.804;5.648;0.07;50.0;-50.0;70.0;10.0
10;-3.914;-3.599;-0.218;0.779;0.0;9.149;9.149;8.816;5.706;0.1;50.0;-50.0;70.0;10.0
11;-3.895;-3.599;-0.238;0.987;0.0;9.28;9.28;8.828;5.765;0.133;50.0;-50.0;70.0;10.0
12;-3.876;-3.599;-0.259;0.987;0.0;9.404;9.404;8.84;5.823;0.171;50.0;-50.0;70.0;10.0
13;-3.857;-3.599;-0.28;0.987;0.0;9.522;9.522;8.852;5.882;0.212;50.0;-50.0;70.0;10.0
14;-3.838;-3.599;-0.3;0.987;0.0;9.633;9.633;8.865;5.94;0.257;50.0;-50.0;70.0;10.0
15;-3.82;-3.599;-0.32;0.571;0.0;9.737;9.737;8.877;5.999;0.306;50.0;-50.0;70.0;10.0
16;-3.802;-3.599;-0.34;0.571;0.0;9.836;9.836;8.89;6.057;0.359;50.0;-50.0;70.0;10.0
17;-3.784;-3.599;-0.36;0.571;0.0;9.928;9.928;8.902;6.116;0.416;50.0;-50.0;70.0;10.0
18;-3.767;-3.599;-0.379;0.155;0.0;10.014;10.014;8.914;6.174;0.477;50.0;-50.0;70.0;10.0
19;-3.751;-3.599;-0.399;-0.261;0.0;10.094;10.094;8.926;6.233;0.541;50.0;-50.0;70.0;10.0
20;-3.735;-3.599;-0.418;-0.261;0.0;10.168;10.168;8.937;6.291;0.608;50.0;-50.0;70.0;10.0
21;-3.72;-3.599;-0.437;-0.053;0.0;10.237;10.237;8.948;6.35;0.679;50.0;-50.0;70.0;10.0
22;-3.706;-3.599;-0.456;0.779;0.0;10.301;10.301;8.958;6.409;0.754;50.0;-50.0;70.0;10.0
23;-3.692;-3.599;-0.475;0.779;0.0;10.359;10.359;8.967;6.467;0.832;50.0;-50.0;70.0;10.0
24;-3.678;-3.599;-0.494;0.779;0.0;10.411;10.411;8.975;6.526;0.913;50.0;-50.0;70.0;10.0
25;-3.665;-3.599;-0.512;1.195;0.0;10.458;10.458;8.983;6.584;0.997;50.0;-50.0;70.0;10.0
26;-3.652;-3.599;-0.53;0.779;0.0;10.501;10.501;8.989;6.643;1.085;50.0;-50.0;70.0;10.0
27;-3.639;-3.599;-0.549;0.987;0.0;10.538;10.538;8.995;6.701;1.176;50.0;-50.0;70.0;10.0
28;-3.626;-3.599;-0.567;0.571;0.0;10.57;10.57;8.999;6.76;1.27;50.0;-50.0;70.0;10.0
29;-3.613;-3.599;-0.585;0.571;0.0;10.597;10.597;9.003;6.818;1.367;50.0;-50.0;70.0;10.0
30;-3.6;-3.599;-0.602;-0.677;0.0;10.621;10.621;9.006;6.877;1.467;50.0;-50.0;70.0;10.0
31;-3.588;-3.599;-0.62;-0.677;0.0;10.64;10.64;9.007;6.935;1.57;50.0;-50.0;70.0;10.0
32;-3.576;-3.599;-0.637;0.779;0.0;10.655;10.655;9.008;6.994;1.676;50.0;-50.0;70.0;10.0
33;-3.563;-3.599;-0.655;0.155;0.0;10.668;10.668;9.008;7.052;1.784;50.0;-50.0;70.0;10.0
34;-3.552;-3.599;-0.672;-0.469;0.0;10.677;10.677;9.007;7.111;1.896;50.0;-50.0;70.0;10.0
35;-3.54;-3.599;-0.689;0.571;0.0;10.683;10.683;9.006;7.169;2.01;50.0;-50.0;70.0;10.0
36;-3.529;-3.599;-0.706;0.779;0.0;10.687;10.687;9.004;7.228;2.126;50.0;-50.0;70.0;10.0
37;-3.519;-3.599;-0.723;-0.469;0.0;10.688;10.688;9.001;7.287;2.245;50.0;-50.0;70.0;10.0
38;-3.509;-3.599;-0.739;-0.469;0.0;10.687;10.687;8.998;7.345;2.367;50.0;-50.0;70.0;10.0
39;-3.499;-3.599;-0.756;0.779;0.0;10.684;10.684;8.994;7.404;2.491;50.0;-50.0;70.0;10.0
40;-3.49;-3.599;-0.772;-0.261;0.0;10.68;10.68;8.989;7.462;2.618;50.0;-50.0;70.0;10.0
41;-3.482;-3.599;-0.788;-0.677;0.0;10.673;10.673;8.984;7.521;2.747;50.0;-50.0;70.0;10.0
42;-3.473;-3.599;-0.804;0.363;0.0;10.666;10.666;8.979;7.579;2.878;50.0;-50.0;70.0;10.0
43;-3.466;-3.599;-0.82;0.155;0.0;10.657;10.657;8.973;7.638;3.011;50.0;-50.0;70.0;10.0
44;-3.459;-3.599;-0.836;-0.261;0.0;10.647;10.647;8.966;7.696;3.147;50.0;-50.0;70.0;10.0
45;-3.453;-3.599;-0.852;-0.053;0.0;10.636;10.636;8.958;7.755;3.285;50.0;-50.0;70.0;10.0
46;-3.448;-3.599;-0.868;0.571;0.0;10.625;10.625;8.95;7.813;3.424;50.0;-50.0;70.0;10.0
47;-3.443;-3.599;-0.883;0.571;0.0;10.612;10.612;8.94;7.872;3.566;50.0;-50.0;70.0;10.0
48;-3.439;-3.599;-0.898;0.363;0.0;10.599;10.599;8.93;7.93;3.71;50.0;-50.0;70.0;10.0
49;-3.436;-3.599;-0.914;0.571;0.0;10.586;10.586;8.92;7.989;3.855;50.0;-50.0;70.0;10.0
50;-3.434;-3.599;-0.929;0.779;0.0;10.571;10.571;8.908;8.047;4.003;50.0;-50.0;70.0;10.0
51;-3.433;-3.599;-0.944;0.155;0.0;10.556;10.556;8.895;8.106;4.152;50.0;-50.0;70.0;10.0
