DATE,O,H,L,C,V
2018.10.30 00:00:00,1.81198,1.81374,1.78596,1.78837,205467
2018.10.31 00:00:00,1.78844,1.80817,1.78753,1.80407,196775
2018.11.01 00:00:00,1.80402,1.80912,1.79434,1.80423,215630
2018.11.02 00:00:00,1.80419,1.80566,1.7931,1.80143,216667
2018.11.05 00:00:00,1.80994,1.81136,1.80168,1.80782,164551
2018.11.06 00:00:00,1.80781,1.81472,1.79978,1.80699,196953
2018.11.07 00:00:00,1.80698,1.81469,1.8003,1.80337,207837
2018.11.08 00:00:00,1.80334,1.80663,1.79362,1.79942,229796
2018.11.09 00:00:00,1.79945,1.80273,1.79287,1.79488,222394
2018.11.12 00:00:00,1.7885,1.79327,1.78233,1.79058,214283
2018.11.13 00:00:00,1.79065,1.80634,1.78395,1.79697,240192
2018.11.14 00:00:00,1.79708,1.80573,1.78554,1.79616,249360
2018.11.15 00:00:00,1.79627,1.79735,1.75007,1.75475,251003
2018.11.16 00:00:00,1.75491,1.76945,1.74734,1.75021,198154
2018.11.19 00:00:00,1.75687,1.76529,1.7521,1.7613,174299
2018.11.20 00:00:00,1.76129,1.77299,1.75947,1.7721,222632
2018.11.21 00:00:00,1.77237,1.77492,1.75593,1.75893,195302
2018.11.22 00:00:00,1.75891,1.78162,1.75727,1.77459,144027
2018.11.23 00:00:00,1.77457,1.77767,1.76864,1.77124,164213
2018.11.26 00:00:00,1.77274,1.77546,1.76413,1.77406,182667
2018.11.27 00:00:00,1.77342,1.77522,1.75701,1.76373,222372
2018.11.28 00:00:00,1.76376,1.76913,1.74926,1.75515,215422
2018.11.29 00:00:00,1.75489,1.75882,1.73892,1.74667,213478
2018.11.30 00:00:00,1.74657,1.75146,1.74248,1.74472,229178
2018.12.03 00:00:00,1.72754,1.73745,1.7207,1.72894,205728
2018.12.04 00:00:00,1.72885,1.7369,1.72362,1.73267,240225
2018.12.05 00:00:00,1.73267,1.75536,1.72887,1.75137,176041
2018.12.06 00:00:00,1.75144,1.77413,1.7498,1.76606,243401
2018.12.07 00:00:00,1.766,1.77257,1.76051,1.76499,217504
2018.12.10 00:00:00,1.76751,1.77223,1.74114,1.7467,234452
2018.12.11 00:00:00,1.74632,1.75558,1.73224,1.73224,241395
2018.12.12 00:00:00,1.73211,1.75507,1.72886,1.74826,247734
2018.12.13 00:00:00,1.74776,1.75365,1.74233,1.75031,209378
2018.12.14 00:00:00,1.74995,1.7597,1.74811,1.75218,223383
2018.12.17 00:00:00,1.7549,1.76181,1.75125,1.75652,212320
2018.12.18 00:00:00,1.75623,1.76496,1.75222,1.75921,235145
2018.12.19 00:00:00,1.75918,1.77966,1.75548,1.77316,261841
2018.12.20 00:00:00,1.77313,1.7848,1.77098,1.77978,273309
2018.12.21 00:00:00,1.7798,1.79574,1.77713,1.7947,266585
2018.12.24 00:00:00,1.79562,1.80496,1.78955,1.79941,191525
2018.12.26 00:00:00,1.80415,1.80428,1.78635,1.78645,159262
2018.12.27 00:00:00,1.78608,1.80417,1.78586,1.79603,304197
2018.12.28 00:00:00,1.79612,1.8046,1.79265,1.79899,221399
2018.12.31 00:00:00,1.80102,1.81726,1.79452,1.80845,134479
2019.01.02 00:00:00,1.81548,1.81728,1.79551,1.80349,214605
2019.01.03 00:00:00,1.80349,1.84564,1.79817,1.80098,296615
2019.01.04 00:00:00,1.80103,1.80678,1.78454,1.78483,250448
