step;plan_fact;plan_prj;plan_delta;vozv_fact;vozv_prj;prof_fact;prof_prj;prof_delta;ubound_plan;lbound_plan;ubound_prof;lbound_prof
0;-3.452;-3.599;0.0;0.363;0.0;7.036;5.121;-0.0;50.0;-50.0;70.0;10.0
1;-3.452;-3.599;-0.023;0.363;0.0;7.036;5.179;-0.01;50.0;-50.0;70.0;10.0
2;-3.452;-3.599;-0.045;0.571;0.0;7.266;5.238;-0.016;50.0;-50.0;70.0;10.0
3;-3.452;-3.599;-0.067;0.571;0.0;7.497;5.296;-0.016;50.0;-50.0;70.0;10.0
4;-3.452;-3.599;-0.089;0.779;0.0;7.612;5.355;-0.013;50.0;-50.0;70.0;10.0
5;-3.452;-3.599;-0.111;0.779;0.0;7.843;5.414;-0.005;50.0;-50.0;70.0;10.0
6;-3.452;-3.599;-0.133;1.195;0.0;8.131;5.472;0.008;50.0;-50.0;70.0;10.0
7;-3.452;-3.599;-0.154;0.987;0.0;8.189;5.531;0.024;50.0;-50.0;70.0;10.0
8;-3.452;-3.599;-0.176;0.987;0.0;8.362;5.589;0.045;50.0;-50.0;70.0;10.0
9;-3.452;-3.599;-0.197;0.987;0.0;8.362;5.648;0.07;50.0;-50.0;70.0;10.0
10;-3.452;-3.599;-0.218;0.779;0.0;8.362;5.706;0.1;50.0;-50.0;70.0;10.0
11;-3.452;-3.599;-0.238;0.987;0.0;8.189;5.765;0.133;50.0;-50.0;70.0;10.0
12;-3.452;-3.599;-0.259;0.987;0.0;8.189;5.823;0.171;50.0;-50.0;70.0;10.0
13;-3.228;-3.599;-0.28;0.987;0.0;8.074;5.882;0.212;50.0;-50.0;70.0;10.0
14;-3.228;-3.599;-0.3;0.987;0.0;7.958;5.94;0.257;50.0;-50.0;70.0;10.0
15;-2.779;-3.599;-0.32;0.571;0.0;8.016;5.999;0.306;50.0;-50.0;70.0;10.0
16;-2.555;-3.599;-0.34;0.571;0.0;7.958;6.057;0.359;50.0;-50.0;70.0;10.0
17;-2.555;-3.599;-0.36;0.571;0.0;8.016;6.116;0.416;50.0;-50.0;70.0;10.0
18;-2.555;-3.599;-0.379;0.155;0.0;8.074;6.174;0.477;50.0;-50.0;70.0;10.0
19;-2.33;-3.599;-0.399;-0.261;0.0;7.901;6.233;0.541;50.0;-50.0;70.0;10.0
20;-2.106;-3.599;-0.418;-0.261;0.0;7.843;6.291;0.608;50.0;-50.0;70.0;10.0
21;-2.33;-3.599;-0.437;-0.053;0.0;7.843;6.35;0.679;50.0;-50.0;70.0;10.0
22;-2.33;-3.599;-0.456;0.779;0.0;7.901;6.409;0.754;50.0;-50.0;70.0;10.0
23;-2.555;-3.599;-0.475;0.779;0.0;8.131;6.467;0.832;50.0;-50.0;70.0;10.0
24;-2.779;-3.599;-0.494;0.779;0.0;8.074;6.526;0.913;50.0;-50.0;70.0;10.0
25;-2.555;-3.599;-0.512;1.195;0.0;8.074;6.584;0.997;50.0;-50.0;70.0;10.0
26;-3.004;-3.599;-0.53;0.779;0.0;8.131;6.643;1.085;50.0;-50.0;70.0;10.0
27;-3.004;-3.599;-0.549;0.987;0.0;8.131;6.701;1.176;50.0;-50.0;70.0;10.0
28;-3.004;-3.599;-0.567;0.571;0.0;8.016;6.76;1.27;50.0;-50.0;70.0;10.0
29;-3.228;-3.599;-0.585;0.571;0.0;7.785;6.818;1.367;50.0;-50.0;70.0;10.0
30;-3.004;-3.599;-0.602;-0.677;0.0;7.67;6.877;1.467;50.0;-50.0;70.0;10.0
31;-3.004;-3.599;-0.62;-0.677;0.0;7.612;6.935;1.57;50.0;-50.0;70.0;10.0
32;-3.004;-3.599;-0.637;0.779;0.0;7.382;6.994;1.676;50.0;-50.0;70.0;10.0
33;-3.004;-3.599;-0.655;0.155;0.0;7.324;7.052;1.784;50.0;-50.0;70.0;10.0
34;-2.779;-3.599;-0.672;-0.469;0.0;7.093;7.111;1.896;50.0;-50.0;70.0;10.0
35;-2.779;-3.599;-0.689;0.571;0.0;6.978;7.169;2.01;50.0;-50.0;70.0;10.0
36;-3.004;-3.599;-0.706;0.779;0.0;7.036;7.228;2.126;50.0;-50.0;70.0;10.0
37;-2.555;-3.599;-0.723;-0.469;0.0;6.863;7.287;2.245;50.0;-50.0;70.0;10.0
38;-2.555;-3.599;-0.739;-0.469;0.0;6.805;7.345;2.367;50.0;-50.0;70.0;10.0
39;-2.555;-3.599;-0.756;0.779;0.0;6.805;7.404;2.491;50.0;-50.0;70.0;10.0
40;-2.33;-3.599;-0.772;-0.261;0.0;6.747;7.462;2.618;50.0;-50.0;70.0;10.0
41;-2.33;-3.599;-0.788;-0.677;0.0;6.69;7.521;2.747;50.0;-50.0;70.0;10.0
42;-2.555;-3.599;-0.804;0.363;0.0;6.632;7.579;2.878;50.0;-50.0;70.0;10.0
43;-2.33;-3.599;-0.82;0.155;0.0;6.517;7.638;3.011;50.0;-50.0;70.0;10.0
44;-2.33;-3.599;-0.836;-0.261;0.0;6.459;7.696;3.147;50.0;-50.0;70.0;10.0
45;-2.33;-3.599;-0.852;-0.053;0.0;6.401;7.755;3.285;50.0;-50.0;70.0;10.0
46;-2.33;-3.599;-0.868;0.571;0.0;6.401;7.813;3.424;50.0;-50.0;70.0;10.0
47;-2.106;-3.599;-0.883;0.571;0.0;6.344;7.872;3.566;50.0;-50.0;70.0;10.0
48;-2.33;-3.599;-0.898;0.363;0.0;6.344;7.93;3.71;50.0;-50.0;70.0;10.0
49;-2.106;-3.599;-0.914;0.571;0.0;6.286;7.989;3.855;50.0;-50.0;70.0;10.0
50;-2.106;-3.599;-0.929;0.779;0.0;6.344;8.047;4.003;50.0;-50.0;70.0;10.0
51;-2.106;-3.599;-0.944;0.155;0.0;6.344;8.106;4.152;50.0;-50.0;70.0;10.0
52;-2.33;-3.599;-0.959;-0.469;0.0;6.632;8.165;4.302;50.0;-50.0;70.0;10.0
53;-2.33;-3.599;-0.973;-0.677;0.0;6.401;8.223;4.455;50.0;-50.0;70.0;10.0
54;-2.33;-3.599;-0.988;-0.677;0.0;6.459;8.282;4.609;50.0;-50.0;70.0;10.0
55;-2.33;-3.599;-1.002;-0.885;0.0;6.401;8.285;4.764;50.0;-50.0;70.0;10.0
56;-2.33;-3.599;-1.017;-0.677;0.0;6.286;8.285;4.921;50.0;-50.0;70.0;10.0
57;-2.555;-3.599;-1.031;-0.677;0.0;6.517;8.285;5.08;50.0;-50.0;70.0;10.0
58;-2.555;-3.599;-1.045;-0.677;0.0;6.459;8.285;5.239;50.0;-50.0;70.0;10.0
59;-2.555;-3.599;-1.059;-0.053;0.0;6.632;8.285;5.4;50.0;-50.0;70.0;10.0
60;-2.779;-3.599;-1.073;0.779;0.0;6.863;8.285;5.563;50.0;-50.0;70.0;10.0
61;-3.004;-3.599;-1.087;0.571;0.0;7.151;8.285;5.726;50.0;-50.0;70.0;10.0
62;-3.004;-3.599;-1.101;-0.053;0.0;7.324;8.285;5.891;50.0;-50.0;70.0;10.0
63;-3.228;-3.599;-1.115;0.571;0.0;7.728;8.285;6.056;50.0;-50.0;70.0;10.0
64;-3.228;-3.599;-1.128;0.571;0.0;7.612;8.285;6.223;50.0;-50.0;70.0;10.0
65;-3.228;-3.599;-1.142;0.155;0.0;7.728;8.285;6.39;50.0;-50.0;70.0;10.0
66;-3.228;-3.599;-1.155;-0.261;0.0;7.67;8.285;6.559;50.0;-50.0;70.0;10.0
67;-3.228;-3.599;-1.168;-0.261;0.0;7.555;8.285;6.728;50.0;-50.0;70.0;10.0
68;-3.004;-3.599;-1.182;-0.677;0.0;7.439;8.285;6.898;50.0;-50.0;70.0;10.0
69;-3.004;-3.599;-1.195;-0.053;0.0;7.266;8.285;7.069;50.0;-50.0;70.0;10.0
70;-3.004;-3.599;-1.208;0.155;0.0;7.093;8.285;7.24;50.0;-50.0;70.0;10.0
71;-3.004;-3.599;-1.221;0.571;0.0;7.036;8.285;7.412;50.0;-50.0;70.0;10.0
72;-2.555;-3.599;-1.233;0.155;0.0;6.978;8.285;7.585;50.0;-50.0;70.0;10.0
73;-2.33;-3.599;-1.246;0.779;0.0;7.036;8.285;7.758;50.0;-50.0;70.0;10.0
74;-2.779;-3.599;-1.259;0.987;0.0;6.978;8.285;7.931;50.0;-50.0;70.0;10.0
75;-2.779;-3.599;-1.271;0.571;0.0;6.978;8.285;8.105;50.0;-50.0;70.0;10.0
76;-2.555;-3.599;-1.284;0.571;0.0;7.093;8.285;8.279;50.0;-50.0;70.0;10.0
77;-2.779;-3.599;-1.296;0.363;0.0;7.093;8.285;8.453;50.0;-50.0;70.0;10.0
78;-2.779;-3.599;-1.309;0.363;0.0;6.978;8.285;8.627;50.0;-50.0;70.0;10.0
79;-2.779;-3.599;-1.321;0.571;0.0;6.978;8.285;8.802;50.0;-50.0;70.0;10.0
80;-2.779;-3.599;-1.333;0.571;0.0;6.863;8.285;8.977;50.0;-50.0;70.0;10.0
81;-2.779;-3.599;-1.345;0.571;0.0;6.747;8.285;9.151;50.0;-50.0;70.0;10.0
82;-2.779;-3.599;-1.357;0.571;0.0;6.69;8.285;9.326;50.0;-50.0;70.0;10.0
83;-2.779;-3.599;-1.369;0.987;0.0;6.632;8.285;9.5;50.0;-50.0;70.0;10.0
84;-3.004;-3.599;-1.381;1.403;0.0;6.747;8.285;9.675;50.0;-50.0;70.0;10.0
85;-3.004;-3.599;-1.393;1.195;0.0;6.805;8.285;9.849;50.0;-50.0;70.0;10.0
86;-3.004;-3.599;-1.404;0.571;0.0;6.805;8.285;10.022;50.0;-50.0;70.0;10.0
87;-3.004;-3.599;-1.416;0.363;0.0;6.805;8.285;10.196;50.0;-50.0;70.0;10.0
88;-3.004;-3.599;-1.427;0.571;0.0;6.92;8.285;10.369;50.0;-50.0;70.0;10.0
89;-3.004;-3.599;-1.439;0.571;0.0;6.92;8.285;10.541;50.0;-50.0;70.0;10.0
90;-3.004;-3.599;-1.45;0.155;0.0;6.92;8.285;10.714;50.0;-50.0;70.0;10.0
91;-3.004;-3.599;-1.462;-0.885;0.0;6.978;8.285;10.885;50.0;-50.0;70.0;10.0
92;-2.779;-3.599;-1.473;-0.469;0.0;6.863;8.285;11.056;50.0;-50.0;70.0;10.0
93;-2.779;-3.599;-1.484;0.571;0.0;6.978;8.285;11.226;50.0;-50.0;70.0;10.0
94;-2.555;-3.599;-1.496;0.779;0.0;6.978;8.285;11.395;50.0;-50.0;70.0;10.0
95;-2.555;-3.599;-1.507;0.987;0.0;6.92;8.285;11.564;50.0;-50.0;70.0;10.0
96;-2.555;-3.599;-1.518;0.987;0.0;7.036;8.285;11.732;50.0;-50.0;70.0;10.0
97;-2.779;-3.599;-1.529;1.819;0.0;7.036;8.285;11.899;50.0;-50.0;70.0;10.0
98;-2.555;-3.599;-1.54;2.235;0.0;6.978;8.285;12.064;50.0;-50.0;70.0;10.0
99;-2.779;-3.599;-1.551;1.819;0.0;6.863;8.285;12.229;50.0;-50.0;70.0;10.0
100;-2.555;-3.599;-1.562;1.403;0.0;6.632;8.285;12.393;50.0;-50.0;70.0;10.0
101;-2.779;-3.599;-1.572;1.195;0.0;6.401;8.285;12.555;50.0;-50.0;70.0;10.0
102;-2.779;-3.599;-1.583;1.403;0.0;6.171;8.285;12.717;50.0;-50.0;70.0;10.0
103;-2.779;-3.599;-1.594;1.403;0.0;5.94;8.285;12.877;50.0;-50.0;70.0;10.0
104;-3.004;-3.599;-1.605;1.403;0.0;5.709;8.285;13.035;50.0;-50.0;70.0;10.0
105;-3.004;-3.599;-1.615;0.987;0.0;5.19;8.285;13.193;50.0;-50.0;70.0;10.0
106;-3.004;-3.599;-1.626;0.987;0.0;5.017;8.285;13.349;50.0;-50.0;70.0;10.0
107;-3.004;-3.599;-1.636;2.235;0.0;4.556;8.285;13.503;50.0;-50.0;70.0;10.0
108;-2.779;-3.599;-1.647;1.819;0.0;4.325;8.285;13.656;50.0;-50.0;70.0;10.0
109;-2.779;-3.599;-1.657;1.403;0.0;4.152;8.189;13.807;50.0;-50.0;70.0;10.0
110;-2.779;-3.599;-1.668;1.403;0.0;4.095;8.081;13.956;50.0;-50.0;70.0;10.0
111;-2.779;-3.599;-1.678;1.611;0.0;4.152;7.974;14.104;50.0;-50.0;70.0;10.0
112;-2.779;-3.599;-1.689;0.155;0.0;4.095;7.866;14.251;50.0;-50.0;70.0;10.0
113;-2.779;-3.599;-1.699;-0.053;0.0;4.152;7.759;14.395;50.0;-50.0;70.0;10.0
114;-2.779;-3.599;-1.709;0.155;0.0;4.095;7.651;14.538;50.0;-50.0;70.0;10.0
115;-2.555;-3.599;-1.719;0.363;0.0;3.864;7.544;14.68;50.0;-50.0;70.0;10.0
116;-2.555;-3.599;-1.729;0.571;0.0;3.922;7.436;14.82;50.0;-50.0;70.0;10.0
117;-2.33;-3.599;-1.739;1.195;0.0;3.749;7.329;14.958;50.0;-50.0;70.0;10.0
118;-2.33;-3.599;-1.749;1.403;0.0;3.46;7.221;15.094;50.0;-50.0;70.0;10.0
119;-2.33;-3.599;-1.759;2.027;0.0;3.287;7.114;15.23;50.0;-50.0;70.0;10.0
120;-2.33;-3.599;-1.768;3.275;0.0;3.114;7.006;15.363;50.0;-50.0;70.0;10.0
